id,ord_date,shop_lat,shop_lon,dlv_lat,dlv_lon,cook_time,capacity_bike
1,2024-06-01 13:59:03,36.006819969167694,126.00651164791404,36.0132607391677,126.00666959791405,10,0.18
2,2024-06-01 13:59:05,36.009930249167695,125.98018054791405,36.00051140916769,125.98084336791405,20,0.28
3,2024-06-01 13:59:15,36.081755379167696,125.97659552791404,36.077841749167696,125.96857639791403,10,0.23
4,2024-06-01 13:59:22,36.02615110916769,126.00634445791405,36.0292188491677,125.99654390791406,10,0.13
5,2024-06-01 13:59:42,35.96479756916769,126.03989876791405,35.963501649167696,126.03675399791405,15,1.0
6,2024-06-01 13:59:44,35.992459609167696,125.95890512791405,35.9851576591677,125.94719220791404,15,0.38
7,2024-06-01 13:59:47,36.006905159167694,126.10747497791405,36.006611319167696,126.13202939791404,15,0.23
8,2024-06-01 14:00:04,35.95480053916769,126.13975136791404,35.9707651591677,126.11198539791405,15,0.28
9,2024-06-01 14:00:29,35.95804673916769,125.95346211791406,35.98183410916769,125.96355974791405,25,0.21
10,2024-06-01 14:00:30,35.9432143491677,125.91374380791405,35.9341146491677,125.90569218791404,20,0.09
11,2024-06-01 14:00:34,36.004517139167696,126.13950000791405,36.008632579167696,126.14163191791405,15,0.23
12,2024-06-01 14:00:43,36.0107363191677,126.01342759791405,35.9981593991677,126.02002460791405,30,0.25
13,2024-06-01 14:00:44,36.002433529167696,126.11183582791404,36.00213986916769,126.12311194791405,25,0.18
14,2024-06-01 14:00:46,36.019318569167694,126.00726123791404,36.02870780916769,126.00105743791406,15,0.22
15,2024-06-01 14:00:54,35.9934768291677,125.96822448791406,36.0055633891677,125.95499126791404,20,0.2
16,2024-06-01 14:00:55,35.94782515916769,125.92565929791405,35.9585192891677,125.91652037791405,20,0.15
17,2024-06-01 14:00:57,36.0004425091677,126.03759009791403,35.998688549167696,126.02808317791406,15,0.18
18,2024-06-01 14:01:03,36.001597689167696,125.97132044791405,35.9896965491677,125.95946731791406,15,0.31
19,2024-06-01 14:01:09,35.9580186391677,125.93582478791404,35.95735698916769,125.93631800791405,20,0.18
20,2024-06-01 14:01:14,36.04781440916769,125.95687599791404,36.062606339167694,125.95837703791406,15,0.3
21,2024-06-01 14:01:14,35.954658029167696,125.94257428791406,35.94900792916769,125.93695009791404,15,0.3
22,2024-06-01 14:01:23,36.00376507916769,126.02392686791404,36.00399317916769,126.01858302791405,25,0.43
23,2024-06-01 14:01:25,35.939631389167694,125.91193850791404,35.9574937591677,125.93855908791406,15,0.32
24,2024-06-01 14:01:27,35.96382733916769,126.14211202791404,35.97596857916769,126.12827919791405,25,0.51
25,2024-06-01 14:01:39,35.976047869167694,126.12514095791406,35.979907659167694,126.11565504791406,15,0.22
26,2024-06-01 14:01:48,35.99365324916769,125.92238053791405,35.99556776916769,125.91707516791405,15,0.16
27,2024-06-01 14:01:51,35.9894307691677,125.88238418791406,35.998073479167694,125.89439134791405,10,0.12
28,2024-06-01 14:01:56,35.978683699167696,125.97584846791403,35.96443043916769,125.94979291791404,20,0.38
29,2024-06-01 14:02:04,35.999404829167695,126.04356414791405,35.991472539167695,126.05750439791404,50,0.88
30,2024-06-01 14:02:05,35.9820720491677,125.96698803791404,35.9887222091677,125.97525759791404,25,0.44
31,2024-06-01 14:02:08,35.956768859167695,125.94010222791405,35.94503700916769,125.92702669791404,15,0.19
32,2024-06-01 14:02:09,35.957602359167694,125.95415651791404,35.9727507891677,125.97650657791405,15,0.35
33,2024-06-01 14:02:10,35.99565277916769,125.90932607791405,36.006636979167695,125.91263017791405,15,0.14
34,2024-06-01 14:02:16,36.0116806091677,126.01090001791405,36.000602889167695,126.01132953791404,10,0.28
35,2024-06-01 14:02:26,35.9942367591677,125.93585155791405,35.987655159167694,125.94816834791405,15,0.14
36,2024-06-01 14:02:32,36.037511359167695,126.02934211791404,36.03673637916769,126.01653709791404,20,0.56
37,2024-06-01 14:02:34,36.001822489167694,126.11244690791403,36.01349081916769,126.13373608791406,10,0.15
38,2024-06-01 14:02:34,36.0016253591677,125.96523765791406,35.996666079167696,125.95720190791405,15,0.15
39,2024-06-01 14:02:40,35.963851419167696,125.94154634791406,35.9575403091677,125.94552356791405,15,0.15
40,2024-06-01 14:02:41,35.952408149167695,125.93493612791406,35.94004967916769,125.94587273791404,15,0.33
41,2024-06-01 14:02:44,36.0070979891677,126.02142699791403,36.02388801916769,126.01929370791404,20,0.14
42,2024-06-01 14:02:46,36.02467952916769,126.03214778791406,36.0190530791677,126.04261335791404,15,0.15
43,2024-06-01 14:02:55,36.005683679167696,126.14011102791406,36.01052678916769,126.11946630791405,15,0.23
44,2024-06-01 14:03:00,35.981240289167694,126.04759207791406,35.99905296916769,126.06096784791404,15,0.27
45,2024-06-01 14:03:09,35.98018321916769,125.95893324791405,35.984173049167694,125.95609052791406,15,0.28
46,2024-06-01 14:03:13,35.992098749167695,125.97040412791404,36.004814679167694,125.95900579791405,20,0.15
47,2024-06-01 14:03:16,36.0241518791677,126.03556416791406,36.03548989916769,126.04188297791404,10,0.17
48,2024-06-01 14:03:20,36.01909646916769,126.01270520791405,36.0306051291677,126.00754555791406,5,0.15
49,2024-06-01 14:03:23,36.0072645091677,126.01420540791403,35.999740789167696,126.02019814791404,5,0.26
50,2024-06-01 14:03:25,35.99590447916769,126.00334556791404,35.994697629167696,125.99943289791406,10,0.19
51,2024-06-01 14:03:27,35.9651012891677,125.94240734791404,35.9592500091677,125.94431202791404,25,0.14
52,2024-06-01 14:03:41,36.0375392991677,126.03825799791406,36.036848989167694,126.04471295791404,15,0.18
53,2024-06-01 14:04:02,36.002433529167696,126.11183582791404,36.0008236991677,126.10712951791405,40,0.19
